AOI,Species,Model,FMO,Period,Low_Score_AOI_Mean,Neutral_Score_AOI_Mean,High_Score_AOI_Mean,Low_Score_AOI_SD,Neutral_Score_AOI_SD,High_Score_AOI_SD
Aggie Creek (HUC12: 190803090403),NONE,gfdl,nofmo,1,0.43,0.54,0.69,0.05,0.05,0.05
Aggie Creek (HUC12: 190803090403),NONE,gfdl,nofmo,2,0.44,0.55,0.7,0.05,0.05,0.05
Allen Creek-Goldstream Creek (HUC12: 190803090707),CHK,ccsm,altfmo,0,-0.11,0.0,0.15,0.05,0.05,0.05
Allen Creek-Goldstream Creek (HUC12: 190803090707),CHK,ccsm,altfmo,1,-0.09,0.02,0.17,0.05,0.05,0.05
Allen Creek-Goldstream Creek (HUC12: 190803090707),CHK,ccsm,altfmo,2,-0.09,0.01,0.16,0.05,0.05,0.05
Allen Creek-Goldstream Creek (HUC12: 190803090707),CHK,ccsm,fmo,0,-0.11,0.0,0.15,0.05,0.05,0.05
Allen Creek-Goldstream Creek (HUC12: 190803090707),CHK,ccsm,fmo,1,-0.07,0.03,0.18,0.06,0.06,0.06
Allen Creek-Goldstream Creek (HUC12: 190803090707),CHK,ccsm,fmo,2,-0.09,0.02,0.17,0.05,0.05,0.05
Allen Creek-Goldstream Creek (HUC12: 190803090707),CHK,ccsm,nofmo,0,-0.11,0.0,0.15,0.05,0.05,0.05
Allen Creek-Goldstream Creek (HUC12: 190803090707),CHK,ccsm,nofmo,1,-0.1,0.0,0.16,0.05,0.05,0.05
Allen Creek-Goldstream Creek (HUC12: 190803090707),CHK,ccsm,nofmo,2,-0.09,0.02,0.17,0.05,0.05,0.05
Allen Creek-Goldstream Creek (HUC12: 190803090707),CHK,gfdl,altfmo,0,-0.11,0.0,0.15,0.05,0.05,0.05
Allen Creek-Goldstream Creek (HUC12: 190803090707),CHK,gfdl,altfmo,1,-0.06,0.05,0.2,0.06,0.06,0.06
Allen Creek-Goldstream Creek (HUC12: 190803090707),CHK,gfdl,altfmo,2,-0.06,0.05,0.2,0.06,0.06,0.06
Allen Creek-Goldstream Creek (HUC12: 190803090707),CHK,gfdl,fmo,0,-0.11,0.0,0.15,0.05,0.05,0.05
Allen Creek-Goldstream Creek (HUC12: 190803090707),CHK,gfdl,fmo,1,-0.07,0.04,0.19,0.06,0.06,0.06
Allen Creek-Goldstream Creek (HUC12: 190803090707),CHK,gfdl,fmo,2,-0.05,0.05,0.2,0.06,0.06,0.06
Allen Creek-Goldstream Creek (HUC12: 190803090707),CHK,gfdl,nofmo,0,-0.11,0.0,0.15,0.05,0.05,0.05
Allen Creek-Goldstream Creek (HUC12: 190803090707),CHK,gfdl,nofmo,1,-0.09,0.02,0.17,0.05,0.05,0.05
Allen Creek-Goldstream Creek (HUC12: 190803090707),CHK,gfdl,nofmo,2,-0.09,0.02,0.17,0.05,0.05,0.05
Allen Creek-Goldstream Creek (HUC12: 190803090707),GRA,ccsm,altfmo,0,-0.17,-0.06,0.09,0.05,0.05,0.05
Allen Creek-Goldstream Creek (HUC12: 190803090707),GRA,ccsm,altfmo,1,-0.15,-0.04,0.11,0.05,0.05,0.05
Allen Creek-Goldstream Creek (HUC12: 190803090707),GRA,ccsm,altfmo,2,-0.15,-0.05,0.1,0.05,0.05,0.05
Allen Creek-Goldstream Creek (HUC12: 190803090707),GRA,ccsm,fmo,0,-0.17,-0.06,0.09,0.05,0.05,0.05
Allen Creek-Goldstream Creek (HUC12: 190803090707),GRA,ccsm,fmo,1,-0.13,-0.03,0.12,0.06,0.06,0.06
Allen Creek-Goldstream Creek (HUC12: 190803090707),GRA,ccsm,fmo,2,-0.15,-0.04,0.11,0.05,0.05,0.05
Allen Creek-Goldstream Creek (HUC12: 190803090707),GRA,ccsm,nofmo,0,-0.17,-0.06,0.09,0.05,0.05,0.05
Allen Creek-Goldstream Creek (HUC12: 190803090707),GRA,ccsm,nofmo,1,-0.16,-0.06,0.1,0.05,0.05,0.05
Allen Creek-Goldstream Creek (HUC12: 190803090707),GRA,ccsm,nofmo,2,-0.15,-0.04,0.11,0.05,0.05,0.05
Allen Creek-Goldstream Creek (HUC12: 190803090707),GRA,gfdl,altfmo,0,-0.17,-0.06,0.09,0.05,0.05,0.05
Allen Creek-Goldstream Creek (HUC12: 190803090707),GRA,gfdl,altfmo,1,-0.12,-0.02,0.14,0.06,0.06,0.06
Allen Creek-Goldstream Creek (HUC12: 190803090707),GRA,gfdl,altfmo,2,-0.12,-0.02,0.14,0.06,0.06,0.06
Allen Creek-Goldstream Creek (HUC12: 190803090707),GRA,gfdl,fmo,0,-0.17,-0.06,0.09,0.05,0.05,0.05
Allen Creek-Goldstream Creek (HUC12: 190803090707),GRA,gfdl,fmo,1,-0.13,-0.02,0.13,0.06,0.06,0.06
Allen Creek-Goldstream Creek (HUC12: 190803090707),GRA,gfdl,fmo,2,-0.12,-0.01,0.14,0.06,0.06,0.06
Allen Creek-Goldstream Creek (HUC12: 190803090707),GRA,gfdl,nofmo,0,-0.17,-0.06,0.09,0.05,0.05,0.05
Allen Creek-Goldstream Creek (HUC12: 190803090707),GRA,gfdl,nofmo,1,-0.15,-0.04,0.11,0.05,0.05,0.05
Allen Creek-Goldstream Creek (HUC12: 190803090707),GRA,gfdl,nofmo,2,-0.15,-0.04,0.11,0.05,0.05,0.05
Allen Creek-Goldstream Creek (HUC12: 190803090707),NONE,ccsm,altfmo,0,0.36,0.47,0.62,0.05,0.05,0.05
Allen Creek-Goldstream Creek (HUC12: 190803090707),NONE,ccsm,altfmo,1,0.38,0.49,0.64,0.05,0.05,0.05
Allen Creek-Goldstream Creek (HUC12: 190803090707),NONE,ccsm,altfmo,2,0.37,0.48,0.63,0.05,0.05,0.05
Allen Creek-Goldstream Creek (HUC12: 190803090707),NONE,ccsm,fmo,0,0.36,0.47,0.62,0.05,0.05,0.05
Allen Creek-Goldstream Creek (HUC12: 190803090707),NONE,ccsm,fmo,1,0.39,0.5,0.65,0.06,0.06,0.06
Allen Creek-Goldstream Creek (HUC12: 190803090707),NONE,ccsm,fmo,2,0.38,0.48,0.63,0.05,0.05,0.05
Allen Creek-Goldstream Creek (HUC12: 190803090707),NONE,ccsm,nofmo,0,0.36,0.47,0.62,0.05,0.05,0.05
Allen Creek-Goldstream Creek (HUC12: 190803090707),NONE,ccsm,nofmo,1,0.36,0.47,0.62,0.05,0.05,0.05
Allen Creek-Goldstream Creek (HUC12: 190803090707),NONE,ccsm,nofmo,2,0.38,0.48,0.63,0.05,0.05,0.05
Allen Creek-Goldstream Creek (HUC12: 190803090707),NONE,gfdl,altfmo,0,0.36,0.47,0.62,0.05,0.05,0.05
Allen Creek-Goldstream Creek (HUC12: 190803090707),NONE,gfdl,altfmo,1,0.4,0.51,0.66,0.06,0.06,0.06
Allen Creek-Goldstream Creek (HUC12: 190803090707),NONE,gfdl,altfmo,2,0.4,0.51,0.66,0.06,0.06,0.06
Allen Creek-Goldstream Creek (HUC12: 190803090707),NONE,gfdl,fmo,0,0.36,0.47,0.62,0.05,0.05,0.05
Allen Creek-Goldstream Creek (HUC12: 190803090707),NONE,gfdl,fmo,1,0.4,0.5,0.66,0.06,0.06,0.06
Allen Creek-Goldstream Creek (HUC12: 190803090707),NONE,gfdl,fmo,2,0.41,0.52,0.67,0.06,0.06,0.06
Allen Creek-Goldstream Creek (HUC12: 190803090707),NONE,gfdl,nofmo,0,0.36,0.47,0.62,0.05,0.05,0.05
Allen Creek-Goldstream Creek (HUC12: 190803090707),NONE,gfdl,nofmo,1,0.38,0.48,0.63,0.05,0.05,0.05
Allen Creek-Goldstream Creek (HUC12: 190803090707),NONE,gfdl,nofmo,2,0.38,0.48,0.64,0.05,0.05,0.05
Anaconda Creek (HUC12: 190803060801),CHK,ccsm,altfmo,0,0.28,0.38,0.54,0.06,0.05,0.06
Anaconda Creek (HUC12: 190803060801),CHK,ccsm,altfmo,1,0.29,0.39,0.55,0.05,0.05,0.05
Anaconda Creek (HUC12: 190803060801),CHK,ccsm,altfmo,2,0.27,0.38,0.53,0.05,0.05,0.05
Anaconda Creek (HUC12: 190803060801),CHK,ccsm,fmo,0,0.28,0.38,0.54,0.06,0.05,0.06
Anaconda Creek (HUC12: 190803060801),CHK,ccsm,fmo,1,0.29,0.39,0.54,0.05,0.05,0.05
Anaconda Creek (HUC12: 190803060801),CHK,ccsm,fmo,2,0.27,0.38,0.53,0.05,0.06,0.05
Anaconda Creek (HUC12: 190803060801),CHK,ccsm,nofmo,0,0.28,0.38,0.54,0.06,0.05,0.06
Anaconda Creek (HUC12: 190803060801),CHK,ccsm,nofmo,1,0.29,0.39,0.55,0.05,0.06,0.05
Anaconda Creek (HUC12: 190803060801),CHK,ccsm,nofmo,2,0.29,0.39,0.54,0.05,0.06,0.05
Anaconda Creek (HUC12: 190803060801),CHK,gfdl,altfmo,0,0.28,0.38,0.54,0.06,0.05,0.06
Anaconda Creek (HUC12: 190803060801),CHK,gfdl,altfmo,1,0.28,0.38,0.53,0.05,0.05,0.05
Anaconda Creek (HUC12: 190803060801),CHK,gfdl,altfmo,2,0.29,0.39,0.55,0.05,0.05,0.05
Anaconda Creek (HUC12: 190803060801),CHK,gfdl,fmo,0,0.28,0.38,0.54,0.06,0.05,0.06
Anaconda Creek (HUC12: 190803060801),CHK,gfdl,fmo,1,0.28,0.38,0.53,0.05,0.05,0.05
Anaconda Creek (HUC12: 190803060801),CHK,gfdl,fmo,2,0.29,0.4,0.55,0.05,0.06,0.05
Anaconda Creek (HUC12: 190803060801),CHK,gfdl,nofmo,0,0.28,0.38,0.54,0.06,0.05,0.06
Anaconda Creek (HUC12: 190803060801),CHK,gfdl,nofmo,1,0.29,0.39,0.55,0.06,0.06,0.06
Anaconda Creek (HUC12: 190803060801),CHK,gfdl,nofmo,2,0.3,0.4,0.55,0.05,0.06,0.05
Anaconda Creek (HUC12: 190803060801),GRA,ccsm,altfmo,0,-0.07,0.03,0.19,0.06,0.05,0.06
Anaconda Creek (HUC12: 190803060801),GRA,ccsm,altfmo,1,-0.06,0.04,0.19,0.05,0.05,0.05
Anaconda Creek (HUC12: 190803060801),GRA,ccsm,altfmo,2,-0.08,0.03,0.18,0.05,0.05,0.05
Anaconda Creek (HUC12: 190803060801),GRA,ccsm,fmo,0,-0.07,0.03,0.19,0.06,0.05,0.06
Anaconda Creek (HUC12: 190803060801),GRA,ccsm,fmo,1,-0.06,0.04,0.19,0.05,0.05,0.05
Anaconda Creek (HUC12: 190803060801),GRA,ccsm,fmo,2,-0.08,0.02,0.18,0.05,0.06,0.05
Anaconda Creek (HUC12: 190803060801),GRA,ccsm,nofmo,0,-0.07,0.03,0.19,0.06,0.05,0.06
Anaconda Creek (HUC12: 190803060801),GRA,ccsm,nofmo,1,-0.06,0.04,0.2,0.05,0.06,0.05
Anaconda Creek (HUC12: 190803060801),GRA,ccsm,nofmo,2,-0.07,0.04,0.19,0.05,0.06,0.05
Anaconda Creek (HUC12: 190803060801),GRA,gfdl,altfmo,0,-0.07,0.03,0.19,0.06,0.05,0.06
Anaconda Creek (HUC12: 190803060801),GRA,gfdl,altfmo,1,-0.07,0.03,0.18,0.05,0.05,0.05
Anaconda Creek (HUC12: 190803060801),GRA,gfdl,altfmo,2,-0.06,0.04,0.2,0.05,0.05,0.05
Anaconda Creek (HUC12: 190803060801),GRA,gfdl,fmo,0,-0.07,0.03,0.19,0.06,0.05,0.06
Anaconda Creek (HUC12: 190803060801),GRA,gfdl,fmo,1,-0.07,0.03,0.18,0.05,0.05,0.05
Anaconda Creek (HUC12: 190803060801),GRA,gfdl,fmo,2,-0.06,0.05,0.2,0.05,0.06,0.05
Anaconda Creek (HUC12: 190803060801),GRA,gfdl,nofmo,0,-0.07,0.03,0.19,0.06,0.05,0.06
Anaconda Creek (HUC12: 190803060801),GRA,gfdl,nofmo,1,-0.06,0.04,0.2,0.06,0.06,0.06
Anaconda Creek (HUC12: 190803060801),GRA,gfdl,nofmo,2,-0.06,0.05,0.2,0.05,0.06,0.05
Anaconda Creek (HUC12: 190803060801),NONE,ccsm,altfmo,0,0.51,0.61,0.77,0.06,0.05,0.06
Anaconda Creek (HUC12: 190803060801),NONE,ccsm,altfmo,1,0.51,0.62,0.77,0.05,0.05,0.05
Anaconda Creek (HUC12: 190803060801),NONE,ccsm,altfmo,2,0.5,0.6,0.76,0.05,0.05,0.05
Anaconda Creek (HUC12: 190803060801),NONE,ccsm,fmo,0,0.51,0.61,0.77,0.06,0.05,0.06
Anaconda Creek (HUC12: 190803060801),NONE,ccsm,fmo,1,0.51,0.62,0.77,0.05,0.05,0.05
Anaconda Creek (HUC12: 190803060801),NONE,ccsm,fmo,2,0.5,0.6,0.76,0.05,0.06,0.05
Anaconda Creek (HUC12: 190803060801),NONE,ccsm,nofmo,0,0.51,0.61,0.77,0.06,0.05,0.06
Anaconda Creek (HUC12: 190803060801),NONE,ccsm,nofmo,1,0.52,0.62,0.78,0.05,0.06,0.05
Anaconda Creek (HUC12: 190803060801),NONE,ccsm,nofmo,2,0.51,0.62,0.77,0.05,0.06,0.05
Anaconda Creek (HUC12: 190803060801),NONE,gfdl,altfmo,0,0.51,0.61,0.77,0.06,0.05,0.06
Anaconda Creek (HUC12: 190803060801),NONE,gfdl,altfmo,1,0.5,0.61,0.76,0.05,0.05,0.05
Anaconda Creek (HUC12: 190803060801),NONE,gfdl,altfmo,2,0.52,0.62,0.77,0.05,0.05,0.05
Anaconda Creek (HUC12: 190803060801),NONE,gfdl,fmo,0,0.51,0.61,0.77,0.06,0.05,0.06
Anaconda Creek (HUC12: 190803060801),NONE,gfdl,fmo,1,0.5,0.61,0.76,0.05,0.05,0.05
Anaconda Creek (HUC12: 190803060801),NONE,gfdl,fmo,2,0.52,0.62,0.78,0.05,0.06,0.05
Anaconda Creek (HUC12: 190803060801),NONE,gfdl,nofmo,0,0.51,0.61,0.77,0.06,0.05,0.06
Anaconda Creek (HUC12: 190803060801),NONE,gfdl,nofmo,1,0.52,0.62,0.78,0.06,0.06,0.06
Anaconda Creek (HUC12: 190803060801),NONE,gfdl,nofmo,2,0.52,0.63,0.78,0.05,0.06,0.05
Angel Creek (HUC12: 190803060408),CHK,ccsm,altfmo,0,0.38,0.47,0.64,0.1,0.1,0.1
Angel Creek (HUC12: 190803060408),CHK,ccsm,altfmo,1,0.35,0.44,0.61,0.05,0.07,0.05
Angel Creek (HUC12: 190803060408),CHK,ccsm,altfmo,2,0.35,0.44,0.61,0.05,0.07,0.05
Angel Creek (HUC12: 190803060408),CHK,ccsm,fmo,0,0.38,0.47,0.64,0.1,0.1,0.1
Angel Creek (HUC12: 190803060408),CHK,ccsm,fmo,1,0.36,0.45,0.61,0.05,0.07,0.05
Angel Creek (HUC12: 190803060408),CHK,ccsm,fmo,2,0.35,0.44,0.61,0.05,0.07,0.05
Angel Creek (HUC12: 190803060408),CHK,ccsm,nofmo,0,0.38,0.47,0.64,0.1,0.1,0.1
Angel Creek (HUC12: 190803060408),CHK,ccsm,nofmo,1,0.36,0.45,0.62,0.06,0.08,0.06
Angel Creek (HUC12: 190803060408),CHK,ccsm,nofmo,2,0.35,0.44,0.61,0.05,0.07,0.05
Angel Creek (HUC12: 190803060408),CHK,gfdl,altfmo,0,0.38,0.47,0.64,0.1,0.1,0.1
Angel Creek (HUC12: 190803060408),CHK,gfdl,altfmo,1,0.35,0.43,0.6,0.05,0.07,0.05
Angel Creek (HUC12: 190803060408),CHK,gfdl,altfmo,2,0.35,0.44,0.61,0.05,0.07,0.05
Angel Creek (HUC12: 190803060408),CHK,gfdl,fmo,0,0.38,0.47,0.64,0.1,0.1,0.1
Angel Creek (HUC12: 190803060408),CHK,gfdl,fmo,1,0.35,0.44,0.6,0.05,0.07,0.05
Angel Creek (HUC12: 190803060408),CHK,gfdl,fmo,2,0.35,0.44,0.61,0.05,0.07,0.05
Angel Creek (HUC12: 190803060408),CHK,gfdl,nofmo,0,0.38,0.47,0.64,0.1,0.1,0.1
