AOI,Species,Model,FMO,Period,Low_Score_AOI_Mean,Neutral_Score_AOI_Mean,High_Score_AOI_Mean,Low_Score_AOI_SD,Neutral_Score_AOI_SD,High_Score_AOI_SD
Eisenmenger Fork (HUC10: 1908030314),GRA,ccsm,fmo,1,0.17,0.28,0.43,0.04,0.04,0.04
Eisenmenger Fork (HUC10: 1908030314),GRA,ccsm,fmo,2,0.1,0.21,0.36,0.05,0.05,0.05
Eisenmenger Fork (HUC10: 1908030314),GRA,ccsm,nofmo,0,0.1,0.21,0.36,0.05,0.05,0.05
Eisenmenger Fork (HUC10: 1908030314),GRA,ccsm,nofmo,1,0.15,0.26,0.41,0.04,0.04,0.04
Eisenmenger Fork (HUC10: 1908030314),GRA,ccsm,nofmo,2,0.1,0.21,0.36,0.05,0.05,0.05
Eisenmenger Fork (HUC10: 1908030314),GRA,gfdl,altfmo,0,0.1,0.21,0.36,0.05,0.05,0.05
Eisenmenger Fork (HUC10: 1908030314),GRA,gfdl,altfmo,1,0.11,0.22,0.37,0.04,0.04,0.04
Eisenmenger Fork (HUC10: 1908030314),GRA,gfdl,altfmo,2,0.12,0.23,0.38,0.04,0.04,0.04
Eisenmenger Fork (HUC10: 1908030314),GRA,gfdl,fmo,0,0.1,0.21,0.36,0.05,0.05,0.05
Eisenmenger Fork (HUC10: 1908030314),GRA,gfdl,fmo,1,0.11,0.22,0.37,0.04,0.04,0.04
Eisenmenger Fork (HUC10: 1908030314),GRA,gfdl,fmo,2,0.12,0.23,0.38,0.04,0.04,0.04
Eisenmenger Fork (HUC10: 1908030314),GRA,gfdl,nofmo,0,0.1,0.21,0.36,0.05,0.05,0.05
Eisenmenger Fork (HUC10: 1908030314),GRA,gfdl,nofmo,1,0.11,0.22,0.37,0.04,0.04,0.04
Eisenmenger Fork (HUC10: 1908030314),GRA,gfdl,nofmo,2,0.12,0.23,0.38,0.04,0.04,0.04
Eisenmenger Fork (HUC10: 1908030314),NONE,ccsm,altfmo,0,0.47,0.58,0.73,0.05,0.05,0.05
Eisenmenger Fork (HUC10: 1908030314),NONE,ccsm,altfmo,1,0.53,0.64,0.79,0.03,0.03,0.03
Eisenmenger Fork (HUC10: 1908030314),NONE,ccsm,altfmo,2,0.47,0.58,0.73,0.05,0.05,0.05
Eisenmenger Fork (HUC10: 1908030314),NONE,ccsm,fmo,0,0.47,0.58,0.73,0.05,0.05,0.05
Eisenmenger Fork (HUC10: 1908030314),NONE,ccsm,fmo,1,0.54,0.65,0.8,0.04,0.04,0.04
Eisenmenger Fork (HUC10: 1908030314),NONE,ccsm,fmo,2,0.48,0.58,0.73,0.05,0.05,0.05
Eisenmenger Fork (HUC10: 1908030314),NONE,ccsm,nofmo,0,0.47,0.58,0.73,0.05,0.05,0.05
Eisenmenger Fork (HUC10: 1908030314),NONE,ccsm,nofmo,1,0.53,0.63,0.78,0.04,0.04,0.04
Eisenmenger Fork (HUC10: 1908030314),NONE,ccsm,nofmo,2,0.47,0.58,0.73,0.05,0.05,0.05
Eisenmenger Fork (HUC10: 1908030314),NONE,gfdl,altfmo,0,0.47,0.58,0.73,0.05,0.05,0.05
Eisenmenger Fork (HUC10: 1908030314),NONE,gfdl,altfmo,1,0.48,0.59,0.74,0.04,0.04,0.04
Eisenmenger Fork (HUC10: 1908030314),NONE,gfdl,altfmo,2,0.49,0.6,0.75,0.04,0.04,0.04
Eisenmenger Fork (HUC10: 1908030314),NONE,gfdl,fmo,0,0.47,0.58,0.73,0.05,0.05,0.05
Eisenmenger Fork (HUC10: 1908030314),NONE,gfdl,fmo,1,0.48,0.59,0.74,0.04,0.04,0.04
Eisenmenger Fork (HUC10: 1908030314),NONE,gfdl,fmo,2,0.49,0.6,0.75,0.04,0.04,0.04
Eisenmenger Fork (HUC10: 1908030314),NONE,gfdl,nofmo,0,0.47,0.58,0.73,0.05,0.05,0.05
Eisenmenger Fork (HUC10: 1908030314),NONE,gfdl,nofmo,1,0.48,0.59,0.74,0.04,0.04,0.04
Eisenmenger Fork (HUC10: 1908030314),NONE,gfdl,nofmo,2,0.5,0.6,0.75,0.04,0.04,0.04
Fairbanks Creek (HUC12: 190803060703),CHK,ccsm,altfmo,0,0.6,0.71,0.86,0.15,0.15,0.15
Fairbanks Creek (HUC12: 190803060703),CHK,ccsm,altfmo,1,0.47,0.58,0.73,0.05,0.05,0.05
Fairbanks Creek (HUC12: 190803060703),CHK,ccsm,altfmo,2,0.46,0.57,0.72,0.05,0.05,0.05
Fairbanks Creek (HUC12: 190803060703),CHK,ccsm,fmo,0,0.6,0.71,0.86,0.15,0.15,0.15
Fairbanks Creek (HUC12: 190803060703),CHK,ccsm,fmo,1,0.48,0.59,0.73,0.05,0.05,0.05
Fairbanks Creek (HUC12: 190803060703),CHK,ccsm,fmo,2,0.46,0.57,0.72,0.05,0.05,0.05
Fairbanks Creek (HUC12: 190803060703),CHK,ccsm,nofmo,0,0.6,0.71,0.86,0.15,0.15,0.15
Fairbanks Creek (HUC12: 190803060703),CHK,ccsm,nofmo,1,0.47,0.58,0.73,0.05,0.05,0.05
Fairbanks Creek (HUC12: 190803060703),CHK,ccsm,nofmo,2,0.47,0.58,0.73,0.05,0.05,0.05
Fairbanks Creek (HUC12: 190803060703),CHK,gfdl,altfmo,0,0.6,0.71,0.86,0.15,0.15,0.15
Fairbanks Creek (HUC12: 190803060703),CHK,gfdl,altfmo,1,0.46,0.57,0.72,0.05,0.05,0.05
Fairbanks Creek (HUC12: 190803060703),CHK,gfdl,altfmo,2,0.47,0.58,0.73,0.05,0.05,0.05
Fairbanks Creek (HUC12: 190803060703),CHK,gfdl,fmo,0,0.6,0.71,0.86,0.15,0.15,0.15
Fairbanks Creek (HUC12: 190803060703),CHK,gfdl,fmo,1,0.46,0.57,0.72,0.05,0.05,0.05
Fairbanks Creek (HUC12: 190803060703),CHK,gfdl,fmo,2,0.47,0.58,0.73,0.05,0.05,0.05
Fairbanks Creek (HUC12: 190803060703),CHK,gfdl,nofmo,0,0.6,0.71,0.86,0.15,0.15,0.15
Fairbanks Creek (HUC12: 190803060703),CHK,gfdl,nofmo,1,0.47,0.58,0.73,0.05,0.05,0.05
Fairbanks Creek (HUC12: 190803060703),CHK,gfdl,nofmo,2,0.48,0.58,0.73,0.05,0.05,0.05
Fairbanks Creek (HUC12: 190803060703),GRA,ccsm,altfmo,0,0.21,0.32,0.47,0.15,0.15,0.15
Fairbanks Creek (HUC12: 190803060703),GRA,ccsm,altfmo,1,0.08,0.19,0.34,0.05,0.05,0.05
Fairbanks Creek (HUC12: 190803060703),GRA,ccsm,altfmo,2,0.08,0.18,0.33,0.05,0.05,0.05
Fairbanks Creek (HUC12: 190803060703),GRA,ccsm,fmo,0,0.21,0.32,0.47,0.15,0.15,0.15
Fairbanks Creek (HUC12: 190803060703),GRA,ccsm,fmo,1,0.09,0.2,0.35,0.05,0.05,0.05
Fairbanks Creek (HUC12: 190803060703),GRA,ccsm,fmo,2,0.07,0.18,0.33,0.05,0.05,0.05
Fairbanks Creek (HUC12: 190803060703),GRA,ccsm,nofmo,0,0.21,0.32,0.47,0.15,0.15,0.15
Fairbanks Creek (HUC12: 190803060703),GRA,ccsm,nofmo,1,0.08,0.19,0.34,0.05,0.05,0.05
Fairbanks Creek (HUC12: 190803060703),GRA,ccsm,nofmo,2,0.08,0.19,0.34,0.05,0.05,0.05
Fairbanks Creek (HUC12: 190803060703),GRA,gfdl,altfmo,0,0.21,0.32,0.47,0.15,0.15,0.15
Fairbanks Creek (HUC12: 190803060703),GRA,gfdl,altfmo,1,0.07,0.18,0.33,0.05,0.05,0.05
Fairbanks Creek (HUC12: 190803060703),GRA,gfdl,altfmo,2,0.09,0.2,0.35,0.05,0.05,0.05
Fairbanks Creek (HUC12: 190803060703),GRA,gfdl,fmo,0,0.21,0.32,0.47,0.15,0.15,0.15
Fairbanks Creek (HUC12: 190803060703),GRA,gfdl,fmo,1,0.07,0.18,0.33,0.05,0.05,0.05
Fairbanks Creek (HUC12: 190803060703),GRA,gfdl,fmo,2,0.08,0.19,0.34,0.05,0.05,0.05
Fairbanks Creek (HUC12: 190803060703),GRA,gfdl,nofmo,0,0.21,0.32,0.47,0.15,0.15,0.15
Fairbanks Creek (HUC12: 190803060703),GRA,gfdl,nofmo,1,0.08,0.19,0.34,0.05,0.05,0.05
Fairbanks Creek (HUC12: 190803060703),GRA,gfdl,nofmo,2,0.09,0.2,0.35,0.05,0.05,0.05
Fairbanks Creek (HUC12: 190803060703),NONE,ccsm,altfmo,0,0.6,0.71,0.86,0.15,0.15,0.15
Fairbanks Creek (HUC12: 190803060703),NONE,ccsm,altfmo,1,0.47,0.58,0.73,0.05,0.05,0.05
Fairbanks Creek (HUC12: 190803060703),NONE,ccsm,altfmo,2,0.46,0.57,0.72,0.05,0.05,0.05
Fairbanks Creek (HUC12: 190803060703),NONE,ccsm,fmo,0,0.6,0.71,0.86,0.15,0.15,0.15
Fairbanks Creek (HUC12: 190803060703),NONE,ccsm,fmo,1,0.48,0.59,0.73,0.05,0.05,0.05
Fairbanks Creek (HUC12: 190803060703),NONE,ccsm,fmo,2,0.46,0.57,0.72,0.05,0.05,0.05
Fairbanks Creek (HUC12: 190803060703),NONE,ccsm,nofmo,0,0.6,0.71,0.86,0.15,0.15,0.15
Fairbanks Creek (HUC12: 190803060703),NONE,ccsm,nofmo,1,0.47,0.58,0.73,0.05,0.05,0.05
Fairbanks Creek (HUC12: 190803060703),NONE,ccsm,nofmo,2,0.47,0.58,0.73,0.05,0.05,0.05
Fairbanks Creek (HUC12: 190803060703),NONE,gfdl,altfmo,0,0.6,0.71,0.86,0.15,0.15,0.15
Fairbanks Creek (HUC12: 190803060703),NONE,gfdl,altfmo,1,0.46,0.57,0.72,0.05,0.05,0.05
Fairbanks Creek (HUC12: 190803060703),NONE,gfdl,altfmo,2,0.47,0.58,0.73,0.05,0.05,0.05
Fairbanks Creek (HUC12: 190803060703),NONE,gfdl,fmo,0,0.6,0.71,0.86,0.15,0.15,0.15
Fairbanks Creek (HUC12: 190803060703),NONE,gfdl,fmo,1,0.46,0.57,0.72,0.05,0.05,0.05
Fairbanks Creek (HUC12: 190803060703),NONE,gfdl,fmo,2,0.47,0.58,0.73,0.05,0.05,0.05
Fairbanks Creek (HUC12: 190803060703),NONE,gfdl,nofmo,0,0.6,0.71,0.86,0.15,0.15,0.15
Fairbanks Creek (HUC12: 190803060703),NONE,gfdl,nofmo,1,0.47,0.58,0.73,0.05,0.05,0.05
Fairbanks Creek (HUC12: 190803060703),NONE,gfdl,nofmo,2,0.48,0.58,0.73,0.05,0.05,0.05
Fairbanks Permafrost Experimental Test Site,CHK,ccsm,altfmo,0,0.29,0.39,0.54,,,
Fairbanks Permafrost Experimental Test Site,CHK,ccsm,altfmo,1,0.31,0.42,0.57,,,
Fairbanks Permafrost Experimental Test Site,CHK,ccsm,altfmo,2,0.29,0.4,0.55,,,
Fairbanks Permafrost Experimental Test Site,CHK,ccsm,fmo,0,0.29,0.39,0.54,,,
Fairbanks Permafrost Experimental Test Site,CHK,ccsm,fmo,1,0.31,0.42,0.57,,,
Fairbanks Permafrost Experimental Test Site,CHK,ccsm,fmo,2,0.29,0.4,0.55,,,
Fairbanks Permafrost Experimental Test Site,CHK,ccsm,nofmo,0,0.29,0.39,0.54,,,
Fairbanks Permafrost Experimental Test Site,CHK,ccsm,nofmo,1,0.29,0.4,0.55,,,
Fairbanks Permafrost Experimental Test Site,CHK,ccsm,nofmo,2,0.3,0.4,0.55,,,
Fairbanks Permafrost Experimental Test Site,CHK,gfdl,altfmo,0,0.29,0.39,0.54,,,
Fairbanks Permafrost Experimental Test Site,CHK,gfdl,altfmo,1,0.31,0.41,0.57,,,
Fairbanks Permafrost Experimental Test Site,CHK,gfdl,altfmo,2,0.32,0.42,0.57,,,
Fairbanks Permafrost Experimental Test Site,CHK,gfdl,fmo,0,0.29,0.39,0.54,,,
Fairbanks Permafrost Experimental Test Site,CHK,gfdl,fmo,1,0.31,0.42,0.57,,,
Fairbanks Permafrost Experimental Test Site,CHK,gfdl,fmo,2,0.32,0.42,0.58,,,
Fairbanks Permafrost Experimental Test Site,CHK,gfdl,nofmo,0,0.29,0.39,0.54,,,
Fairbanks Permafrost Experimental Test Site,CHK,gfdl,nofmo,1,0.3,0.4,0.55,,,
Fairbanks Permafrost Experimental Test Site,CHK,gfdl,nofmo,2,0.3,0.41,0.56,,,
Fairbanks Permafrost Experimental Test Site,GRA,ccsm,altfmo,0,-0.2,-0.09,0.06,,,
Fairbanks Permafrost Experimental Test Site,GRA,ccsm,altfmo,1,-0.17,-0.07,0.09,,,
Fairbanks Permafrost Experimental Test Site,GRA,ccsm,altfmo,2,-0.19,-0.09,0.07,,,
Fairbanks Permafrost Experimental Test Site,GRA,ccsm,fmo,0,-0.2,-0.09,0.06,,,
Fairbanks Permafrost Experimental Test Site,GRA,ccsm,fmo,1,-0.18,-0.07,0.08,,,
Fairbanks Permafrost Experimental Test Site,GRA,ccsm,fmo,2,-0.19,-0.09,0.07,,,
Fairbanks Permafrost Experimental Test Site,GRA,ccsm,nofmo,0,-0.2,-0.09,0.06,,,
Fairbanks Permafrost Experimental Test Site,GRA,ccsm,nofmo,1,-0.19,-0.09,0.06,,,
Fairbanks Permafrost Experimental Test Site,GRA,ccsm,nofmo,2,-0.19,-0.08,0.07,,,
Fairbanks Permafrost Experimental Test Site,GRA,gfdl,altfmo,0,-0.2,-0.09,0.06,,,
Fairbanks Permafrost Experimental Test Site,GRA,gfdl,altfmo,1,-0.18,-0.07,0.08,,,
Fairbanks Permafrost Experimental Test Site,GRA,gfdl,altfmo,2,-0.17,-0.06,0.09,,,
Fairbanks Permafrost Experimental Test Site,GRA,gfdl,fmo,0,-0.2,-0.09,0.06,,,
Fairbanks Permafrost Experimental Test Site,GRA,gfdl,fmo,1,-0.17,-0.07,0.08,,,
Fairbanks Permafrost Experimental Test Site,GRA,gfdl,fmo,2,-0.17,-0.06,0.09,,,
Fairbanks Permafrost Experimental Test Site,GRA,gfdl,nofmo,0,-0.2,-0.09,0.06,,,
Fairbanks Permafrost Experimental Test Site,GRA,gfdl,nofmo,1,-0.19,-0.08,0.07,,,
Fairbanks Permafrost Experimental Test Site,GRA,gfdl,nofmo,2,-0.18,-0.07,0.08,,,
Fairbanks Permafrost Experimental Test Site,NONE,ccsm,altfmo,0,0.29,0.39,0.54,,,
Fairbanks Permafrost Experimental Test Site,NONE,ccsm,altfmo,1,0.31,0.42,0.57,,,
Fairbanks Permafrost Experimental Test Site,NONE,ccsm,altfmo,2,0.29,0.4,0.55,,,
Fairbanks Permafrost Experimental Test Site,NONE,ccsm,fmo,0,0.29,0.39,0.54,,,
Fairbanks Permafrost Experimental Test Site,NONE,ccsm,fmo,1,0.31,0.42,0.57,,,
Fairbanks Permafrost Experimental Test Site,NONE,ccsm,fmo,2,0.29,0.4,0.55,,,
Fairbanks Permafrost Experimental Test Site,NONE,ccsm,nofmo,0,0.29,0.39,0.54,,,
Fairbanks Permafrost Experimental Test Site,NONE,ccsm,nofmo,1,0.29,0.4,0.55,,,
Fairbanks Permafrost Experimental Test Site,NONE,ccsm,nofmo,2,0.3,0.4,0.55,,,
Fairbanks Permafrost Experimental Test Site,NONE,gfdl,altfmo,0,0.29,0.39,0.54,,,
Fairbanks Permafrost Experimental Test Site,NONE,gfdl,altfmo,1,0.31,0.41,0.57,,,
Fairbanks Permafrost Experimental Test Site,NONE,gfdl,altfmo,2,0.32,0.42,0.57,,,
Fairbanks Permafrost Experimental Test Site,NONE,gfdl,fmo,0,0.29,0.39,0.54,,,
Fairbanks Permafrost Experimental Test Site,NONE,gfdl,fmo,1,0.31,0.42,0.57,,,
Fairbanks Permafrost Experimental Test Site,NONE,gfdl,fmo,2,0.32,0.42,0.58,,,
Fairbanks Permafrost Experimental Test Site,NONE,gfdl,nofmo,0,0.29,0.39,0.54,,,
Fairbanks Permafrost Experimental Test Site,NONE,gfdl,nofmo,1,0.3,0.4,0.55,,,
Fairbanks Permafrost Experimental Test Site,NONE,gfdl,nofmo,2,0.3,0.41,0.56,,,
Fairbanks Permafrost Station,CHK,ccsm,altfmo,0,0.42,0.52,0.67,0.03,0.03,0.03
Fairbanks Permafrost Station,CHK,ccsm,altfmo,1,0.45,0.55,0.71,0.04,0.04,0.04
Fairbanks Permafrost Station,CHK,ccsm,altfmo,2,0.42,0.53,0.68,0.03,0.03,0.03
Fairbanks Permafrost Station,CHK,ccsm,fmo,0,0.42,0.52,0.67,0.03,0.03,0.03
Fairbanks Permafrost Station,CHK,ccsm,fmo,1,0.45,0.56,0.71,0.03,0.03,0.03
Fairbanks Permafrost Station,CHK,ccsm,fmo,2,0.43,0.53,0.68,0.04,0.04,0.04
Fairbanks Permafrost Station,CHK,ccsm,nofmo,0,0.42,0.52,0.67,0.03,0.03,0.03
Fairbanks Permafrost Station,CHK,ccsm,nofmo,1,0.42,0.52,0.68,0.04,0.04,0.04
Fairbanks Permafrost Station,CHK,ccsm,nofmo,2,0.43,0.53,0.69,0.03,0.03,0.03
Fairbanks Permafrost Station,CHK,gfdl,altfmo,0,0.42,0.52,0.67,0.03,0.03,0.03
Fairbanks Permafrost Station,CHK,gfdl,altfmo,1,0.43,0.54,0.69,0.03,0.03,0.03
Fairbanks Permafrost Station,CHK,gfdl,altfmo,2,0.45,0.56,0.71,0.03,0.03,0.03
Fairbanks Permafrost Station,CHK,gfdl,fmo,0,0.42,0.52,0.67,0.03,0.03,0.03
Fairbanks Permafrost Station,CHK,gfdl,fmo,1,0.42,0.53,0.68,0.03,0.03,0.03
Fairbanks Permafrost Station,CHK,gfdl,fmo,2,0.46,0.56,0.72,0.04,0.04,0.04
Fairbanks Permafrost Station,CHK,gfdl,nofmo,0,0.42,0.52,0.67,0.03,0.03,0.03
Fairbanks Permafrost Station,CHK,gfdl,nofmo,1,0.43,0.54,0.69,0.04,0.04,0.04
Fairbanks Permafrost Station,CHK,gfdl,nofmo,2,0.44,0.54,0.7,0.03,0.03,0.03
Fairbanks Permafrost Station,GRA,ccsm,altfmo,0,-0.34,-0.24,-0.09,0.03,0.03,0.03
Fairbanks Permafrost Station,GRA,ccsm,altfmo,1,-0.31,-0.2,-0.05,0.04,0.04,0.04
Fairbanks Permafrost Station,GRA,ccsm,altfmo,2,-0.34,-0.23,-0.08,0.03,0.03,0.03
Fairbanks Permafrost Station,GRA,ccsm,fmo,0,-0.34,-0.24,-0.09,0.03,0.03,0.03
Fairbanks Permafrost Station,GRA,ccsm,fmo,1,-0.31,-0.2,-0.05,0.03,0.03,0.03
Fairbanks Permafrost Station,GRA,ccsm,fmo,2,-0.33,-0.23,-0.08,0.04,0.04,0.04
Fairbanks Permafrost Station,GRA,ccsm,nofmo,0,-0.34,-0.24,-0.09,0.03,0.03,0.03
Fairbanks Permafrost Station,GRA,ccsm,nofmo,1,-0.34,-0.23,-0.08,0.04,0.04,0.04
Fairbanks Permafrost Station,GRA,ccsm,nofmo,2,-0.33,-0.23,-0.07,0.03,0.03,0.03
Fairbanks Permafrost Station,GRA,gfdl,altfmo,0,-0.34,-0.24,-0.09,0.03,0.03,0.03
Fairbanks Permafrost Station,GRA,gfdl,altfmo,1,-0.33,-0.22,-0.07,0.03,0.03,0.03
Fairbanks Permafrost Station,GRA,gfdl,altfmo,2,-0.3,-0.2,-0.05,0.03,0.03,0.03
Fairbanks Permafrost Station,GRA,gfdl,fmo,0,-0.34,-0.24,-0.09,0.03,0.03,0.03
Fairbanks Permafrost Station,GRA,gfdl,fmo,1,-0.33,-0.23,-0.08,0.03,0.03,0.03
Fairbanks Permafrost Station,GRA,gfdl,fmo,2,-0.3,-0.2,-0.04,0.04,0.04,0.04
Fairbanks Permafrost Station,GRA,gfdl,nofmo,0,-0.34,-0.24,-0.09,0.03,0.03,0.03
Fairbanks Permafrost Station,GRA,gfdl,nofmo,1,-0.33,-0.22,-0.07,0.04,0.04,0.04
Fairbanks Permafrost Station,GRA,gfdl,nofmo,2,-0.32,-0.22,-0.06,0.03,0.03,0.03
Fairbanks Permafrost Station,NONE,ccsm,altfmo,0,0.42,0.52,0.67,0.03,0.03,0.03
Fairbanks Permafrost Station,NONE,ccsm,altfmo,1,0.45,0.55,0.71,0.04,0.04,0.04
Fairbanks Permafrost Station,NONE,ccsm,altfmo,2,0.42,0.53,0.68,0.03,0.03,0.03
Fairbanks Permafrost Station,NONE,ccsm,fmo,0,0.42,0.52,0.67,0.03,0.03,0.03
Fairbanks Permafrost Station,NONE,ccsm,fmo,1,0.45,0.56,0.71,0.03,0.03,0.03
Fairbanks Permafrost Station,NONE,ccsm,fmo,2,0.43,0.53,0.68,0.04,0.04,0.04
Fairbanks Permafrost Station,NONE,ccsm,nofmo,0,0.42,0.52,0.67,0.03,0.03,0.03
Fairbanks Permafrost Station,NONE,ccsm,nofmo,1,0.42,0.52,0.68,0.04,0.04,0.04
Fairbanks Permafrost Station,NONE,ccsm,nofmo,2,0.43,0.53,0.69,0.03,0.03,0.03
Fairbanks Permafrost Station,NONE,gfdl,altfmo,0,0.42,0.52,0.67,0.03,0.03,0.03
Fairbanks Permafrost Station,NONE,gfdl,altfmo,1,0.43,0.54,0.69,0.03,0.03,0.03
Fairbanks Permafrost Station,NONE,gfdl,altfmo,2,0.45,0.56,0.71,0.03,0.03,0.03
Fairbanks Permafrost Station,NONE,gfdl,fmo,0,0.42,0.52,0.67,0.03,0.03,0.03
Fairbanks Permafrost Station,NONE,gfdl,fmo,1,0.42,0.53,0.68,0.03,0.03,0.03
Fairbanks Permafrost Station,NONE,gfdl,fmo,2,0.46,0.56,0.72,0.04,0.04,0.04
Fairbanks Permafrost Station,NONE,gfdl,nofmo,0,0.42,0.52,0.67,0.03,0.03,0.03
Fairbanks Permafrost Station,NONE,gfdl,nofmo,1,0.43,0.54,0.69,0.04,0.04,0.04
Fairbanks Permafrost Station,NONE,gfdl,nofmo,2,0.44,0.54,0.7,0.03,0.03,0.03
Fairbanks Soil & Water Conservation District,CHK,ccsm,altfmo,0,0.3,0.41,0.56,0.17,0.18,0.17
Fairbanks Soil & Water Conservation District,CHK,ccsm,altfmo,1,0.22,0.33,0.48,0.07,0.08,0.07
Fairbanks Soil & Water Conservation District,CHK,ccsm,altfmo,2,0.21,0.32,0.47,0.07,0.08,0.07
Fairbanks Soil & Water Conservation District,CHK,ccsm,fmo,0,0.3,0.41,0.56,0.17,0.18,0.17
Fairbanks Soil & Water Conservation District,CHK,ccsm,fmo,1,0.23,0.33,0.48,0.07,0.08,0.07
Fairbanks Soil & Water Conservation District,CHK,ccsm,fmo,2,0.21,0.32,0.47,0.07,0.08,0.07
Fairbanks Soil & Water Conservation District,CHK,ccsm,nofmo,0,0.3,0.41,0.56,0.17,0.18,0.17
Fairbanks Soil & Water Conservation District,CHK,ccsm,nofmo,1,0.22,0.32,0.47,0.07,0.08,0.07
Fairbanks Soil & Water Conservation District,CHK,ccsm,nofmo,2,0.21,0.32,0.47,0.07,0.08,0.07
Fairbanks Soil & Water Conservation District,CHK,gfdl,altfmo,0,0.3,0.41,0.56,0.17,0.18,0.17
Fairbanks Soil & Water Conservation District,CHK,gfdl,altfmo,1,0.23,0.33,0.48,0.07,0.07,0.07
Fairbanks Soil & Water Conservation District,CHK,gfdl,altfmo,2,0.23,0.34,0.49,0.08,0.08,0.08
Fairbanks Soil & Water Conservation District,CHK,gfdl,fmo,0,0.3,0.41,0.56,0.17,0.18,0.17
Fairbanks Soil & Water Conservation District,CHK,gfdl,fmo,1,0.23,0.33,0.48,0.07,0.07,0.07
Fairbanks Soil & Water Conservation District,CHK,gfdl,fmo,2,0.23,0.34,0.49,0.07,0.08,0.07
Fairbanks Soil & Water Conservation District,CHK,gfdl,nofmo,0,0.3,0.41,0.56,0.17,0.18,0.17
Fairbanks Soil & Water Conservation District,CHK,gfdl,nofmo,1,0.22,0.33,0.48,0.07,0.08,0.07
Fairbanks Soil & Water Conservation District,CHK,gfdl,nofmo,2,0.22,0.33,0.48,0.08,0.08,0.08
Fairbanks Soil & Water Conservation District,GRA,ccsm,altfmo,0,0.03,0.14,0.29,0.17,0.18,0.17
Fairbanks Soil & Water Conservation District,GRA,ccsm,altfmo,1,-0.05,0.06,0.21,0.07,0.08,0.07
Fairbanks Soil & Water Conservation District,GRA,ccsm,altfmo,2,-0.06,0.04,0.2,0.07,0.08,0.07
Fairbanks Soil & Water Conservation District,GRA,ccsm,fmo,0,0.03,0.14,0.29,0.17,0.18,0.17
Fairbanks Soil & Water Conservation District,GRA,ccsm,fmo,1,-0.05,0.06,0.21,0.07,0.08,0.07
Fairbanks Soil & Water Conservation District,GRA,ccsm,fmo,2,-0.06,0.05,0.2,0.07,0.08,0.07
Fairbanks Soil & Water Conservation District,GRA,ccsm,nofmo,0,0.03,0.14,0.29,0.17,0.18,0.17
Fairbanks Soil & Water Conservation District,GRA,ccsm,nofmo,1,-0.06,0.05,0.2,0.07,0.08,0.07
Fairbanks Soil & Water Conservation District,GRA,ccsm,nofmo,2,-0.06,0.05,0.2,0.07,0.08,0.07
Fairbanks Soil & Water Conservation District,GRA,gfdl,altfmo,0,0.03,0.14,0.29,0.17,0.18,0.17
Fairbanks Soil & Water Conservation District,GRA,gfdl,altfmo,1,-0.05,0.06,0.21,0.07,0.07,0.07
Fairbanks Soil & Water Conservation District,GRA,gfdl,altfmo,2,-0.04,0.07,0.22,0.08,0.08,0.08
Fairbanks Soil & Water Conservation District,GRA,gfdl,fmo,0,0.03,0.14,0.29,0.17,0.18,0.17
Fairbanks Soil & Water Conservation District,GRA,gfdl,fmo,1,-0.05,0.06,0.21,0.07,0.07,0.07
Fairbanks Soil & Water Conservation District,GRA,gfdl,fmo,2,-0.04,0.06,0.22,0.07,0.08,0.07
Fairbanks Soil & Water Conservation District,GRA,gfdl,nofmo,0,0.03,0.14,0.29,0.17,0.18,0.17
Fairbanks Soil & Water Conservation District,GRA,gfdl,nofmo,1,-0.05,0.05,0.21,0.07,0.08,0.07
Fairbanks Soil & Water Conservation District,GRA,gfdl,nofmo,2,-0.05,0.06,0.21,0.08,0.08,0.08
Fairbanks Soil & Water Conservation District,NONE,ccsm,altfmo,0,0.52,0.63,0.78,0.17,0.18,0.17
Fairbanks Soil & Water Conservation District,NONE,ccsm,altfmo,1,0.44,0.55,0.7,0.07,0.08,0.07
Fairbanks Soil & Water Conservation District,NONE,ccsm,altfmo,2,0.43,0.54,0.69,0.07,0.08,0.07
Fairbanks Soil & Water Conservation District,NONE,ccsm,fmo,0,0.52,0.63,0.78,0.17,0.18,0.17
Fairbanks Soil & Water Conservation District,NONE,ccsm,fmo,1,0.44,0.55,0.7,0.07,0.08,0.07
Fairbanks Soil & Water Conservation District,NONE,ccsm,fmo,2,0.43,0.54,0.69,0.07,0.08,0.07
Fairbanks Soil & Water Conservation District,NONE,ccsm,nofmo,0,0.52,0.63,0.78,0.17,0.18,0.17
Fairbanks Soil & Water Conservation District,NONE,ccsm,nofmo,1,0.44,0.54,0.69,0.07,0.08,0.07
Fairbanks Soil & Water Conservation District,NONE,ccsm,nofmo,2,0.43,0.54,0.69,0.07,0.08,0.07
Fairbanks Soil & Water Conservation District,NONE,gfdl,altfmo,0,0.52,0.63,0.78,0.17,0.18,0.17
Fairbanks Soil & Water Conservation District,NONE,gfdl,altfmo,1,0.44,0.55,0.7,0.07,0.07,0.07
Fairbanks Soil & Water Conservation District,NONE,gfdl,altfmo,2,0.45,0.56,0.71,0.08,0.08,0.08
Fairbanks Soil & Water Conservation District,NONE,gfdl,fmo,0,0.52,0.63,0.78,0.17,0.18,0.17
Fairbanks Soil & Water Conservation District,NONE,gfdl,fmo,1,0.45,0.55,0.7,0.07,0.07,0.07
